1	2015	2	1.90
2	2015	2	2.60
3	2015	2	2.60
4	2015	2	1.00
5	2015	2	4.20
6	2015	2	7.60
7	2015	2	7.10
8	2015	2	0.30
9	2015	2	7.00
10	2015	2	5.30
11	2015	2	0.70
12	2015	2	3.40
13	2015	2	0.10
14	2015	2	7.20
15	2016	1	2.50
16	2016	1	9.50
17	2016	1	3.00
18	2016	1	9.30
19	2016	1	2.80
20	2016	1	5.40
21	2016	1	0.30
22	2016	1	5.70
23	2016	1	5.00
24	2016	1	7.00
25	2016	1	0.00
26	2016	1	7.00
27	2016	1	0.80
28	2016	1	7.80
29	2016	1	0.00
30	2016	1	2.30
31	2016	1	0.50
32	2016	1	4.70
33	2016	1	5.00
34	2016	1	6.50
35	2016	1	0.30
36	2016	1	1.50
37	2016	1	1.80
38	2016	1	0.00
39	2016	1	1.30
40	2016	1	2.00
41	2016	1	0.10
42	2016	1	7.00
43	2016	1	7.30
44	2016	2	7.00
45	2016	2	1.40
46	2016	2	0.00
47	2016	2	0.30
48	2016	2	2.10
49	2016	2	2.30
50	2016	2	0.50
51	2016	2	9.40
52	2016	2	0.00
53	2016	2	0.10
54	2016	2	1.10
55	2016	2	0.40
56	2016	2	1.50
57	2016	2	2.00
58	2016	2	5.60
59	2016	2	8.00
60	2016	2	7.50
61	2016	2	1.40
62	2016	2	0.40
63	2016	2	0.00
64	2016	2	0.00
65	2016	2	0.00
66	2016	2	0.30
67	2016	2	3.50
68	2016	2	0.00
69	2016	2	0.10
70	2016	2	1.10
71	2016	2	1.30
72	2017	1	4.75
73	2017	1	5.90
74	2017	1	1.25
75	2017	1	0.00
76	2017	1	7.50
77	2017	1	4.75
78	2017	1	4.52
79	2017	1	6.40
80	2017	1	0.00
81	2017	1	6.00
82	2017	1	2.75
83	2017	1	7.65
84	2017	1	4.65
85	2017	1	9.25
86	2017	1	2.25
87	2017	1	2.00
88	2017	1	6.62
89	2017	1	0.50
90	2017	1	0.25
91	2017	1	1.50
92	2017	1	0.75
93	2017	1	8.25
94	2017	1	4.50
95	2017	1	5.75
96	2017	1	4.25
97	2017	1	5.78
98	2017	2	2.00
99	2017	2	2.80
100	2017	2	2.80
101	2017	2	7.00
102	2017	2	3.50
103	2017	2	9.00
104	2017	2	3.80
105	2017	2	3.10
106	2017	2	2.60
107	2017	2	7.00
108	2017	2	4.10
109	2017	2	0.00
110	2017	2	2.90
111	2017	2	0.80
112	2017	2	0.00
113	2017	2	1.50
114	2017	2	1.90
115	2017	2	8.20
116	2017	2	3.50
